library_id,display_category,n_genotypes,mean_ddelta,median_ddelta,min_ddelta,max_ddelta
1,Insignificant,3,0.0017021092053754996,-0.000420005,-0.010597273,0.0161236056161265
1,Negative significant,81,-2.4919115015555557,-1.975832387,-7.149398318,-1.003995118
1,Neutral significant,147,0.016671084786869374,-0.030722975,-0.97173611,0.9972934330845308
1,Positive significant,25,1.487885361689615,1.238939042277788,1.0007266265871746,3.575571187999444
2,Insignificant,2,-9.064300000000006e-05,-9.064300000000006e-05,-0.00333869,0.003157404
2,Negative significant,84,-2.4754357998214287,-2.00229099,-5.986311576,-1.034171063
2,Neutral significant,115,0.1204854921795594,0.1653985448083776,-0.948157479,0.995405171
2,Positive significant,55,1.6462056862840735,1.4888987522352344,1.0145319615327644,4.770094620911653
3,Insignificant,2,-0.020951254000000002,-0.020951254000000002,-0.04020205,-0.001700458
3,Negative significant,47,-1.6170914821276594,-1.502926833,-2.871160097,-1.030251334
3,Neutral significant,154,0.05105948318603765,0.078476697,-0.980961178,0.98498538706871
3,Positive significant,53,1.9814784514004513,1.7187582990073194,1.0217226753242932,5.298166598903565
