filename,sheet_name,n_rows,n_cols,columns
Chris_Master_File_linear_regression_comparison_across_species.xlsx,coefficients_matrix,38,6,feature; feature_type; bat; human; pangolin; racoondog
Chris_Master_File_linear_regression_comparison_across_species.xlsx,coefficients_long,152,4,feature; coefficient; feature_type; species
Chris_Master_File_linear_regression_comparison_across_species.xlsx,intercepts,1,5,term; bat; human; pangolin; racoondog
Chris_Master_File_linear_regression_comparison_across_species.xlsx,model_summary,7,5,metric; bat; human; pangolin; racoondog
Chris_Regression_Human_Epistasis.xlsx,Sheet1,28,2,Feature; Human
human_with_experimental_landscape_jons_data.xlsx,Sheet1,256,28,Variant_new; binary; Amino Acids at Mutated Positions; Text File Name; File Content; File Link; sequence; Variant_old; mut_pos_1; mut_pos_2; mut_pos_3; mut_pos_4; mut_pos_5; mut_pos_6; mut_pos_7; mut_pos_8; mutation_count; binary_8; wo; mut_count; mean_log2fc_pos_pre; mean_log2fc_neg_pre; n_libs; delta_log2fc_pos_minus_neg; log2fc_neg_pre_lib1; log2fc_neg_pre_lib2; log2fc_pos_pre_lib1; log2fc_pos_pre_lib2
human_with_residual_landscape_jons_data.xlsx,Sheet1,256,29,Variant_new; binary; Amino Acids at Mutated Positions; Text File Name; File Content; File Link; sequence; Variant_old; mut_pos_1; mut_pos_2; mut_pos_3; mut_pos_4; mut_pos_5; mut_pos_6; mut_pos_7; mut_pos_8; mutation_count; binary_8; wo; mut_count; mean_log2fc_pos_pre; mean_log2fc_neg_pre; n_libs; delta_log2fc_pos_minus_neg; log2fc_neg_pre_lib1; log2fc_neg_pre_lib2; log2fc_pos_pre_lib1; log2fc_pos_pre_lib2; residual_ΔΔG_pred
linear_reg_human.xlsx,predictions,256,37,Variant_new; binary; Amino Acids at Mutated Positions; Text File Name; File Content; File Link; sequence; Variant_old; Variant; Protein-protein complex; ΔG (kcal mol-1); Kd (M) at ℃; ICs charged-charged; ICs charged-polar; ICs charged-apolar; ICs polar-polar; ICs polar-apolar; ICs apolar-apolar; NIS charged; NIS apolar; Adjusted; mut_pos_1; mut_pos_2; mut_pos_3; mut_pos_4; mut_pos_5; mut_pos_6; mut_pos_7; mut_pos_8; mutation_count; DeltaG_docking; DeltaDeltaG; DeltaG_ref_Wuhan_docking; ΔΔG_pred; ΔG_pred_docking; ΔG_pred_experimental; DeltaG_ref_Wuhan_experimental
linear_reg_human.xlsx,coefficients,38,3,feature; coefficient; feature_type
linear_reg_human.xlsx,intercept,1,2,term; value
linear_reg_human.xlsx,model_summary,7,2,metric; value
predicted_ModelAll_Anchored_human.xlsx,Sheet1,256,33,Variant_new; binary; Amino Acids at Mutated Positions; Text File Name; File Content; File Link; sequence; Variant_old; Variant; Protein-protein complex; ΔG (kcal mol-1); Kd (M) at ℃; ICs charged-charged; ICs charged-polar; ICs charged-apolar; ICs polar-polar; ICs polar-apolar; ICs apolar-apolar; NIS charged; NIS apolar; Adjusted; mut_pos_1; mut_pos_2; mut_pos_3; mut_pos_4; mut_pos_5; mut_pos_6; mut_pos_7; mut_pos_8; mutation_count; ΔΔG; Predicted_ΔΔG; Predicted_ΔG
