term_order,sum_coefficient_squared,n_terms,fraction_of_variance,cumulative_fraction,library_id,response_col
1,1.0375136151672935,8,0.3926494492739338,0.3926494492739338,1,ddelta
2,0.5437710172758701,28,0.20579141067953077,0.5984408599534645,1,ddelta
3,0.4110243655157593,56,0.15555313048292668,0.7539939904363913,1,ddelta
4,0.2821480187483365,70,0.10677957624431016,0.8607735666807014,1,ddelta
5,0.22381776938699152,56,0.08470435722749727,0.9454779239081986,1,ddelta
6,0.12928058132868464,28,0.04892653775183176,0.9944044616600304,1,ddelta
7,0.01210649304384832,8,0.004581730549665375,0.9989861922096958,1,ddelta
8,0.002678825572143554,1,0.0010138077903040278,0.9999999999999998,1,ddelta
1,1.7741771088666853,8,0.5611355068703534,0.5611355068703534,2,ddelta
2,0.7110294554653034,28,0.22488390358454044,0.7860194104548939,2,ddelta
3,0.2903336387171159,56,0.09182652211487005,0.877845932569764,2,ddelta
4,0.16924085099338862,70,0.05352737910478872,0.9313733116745526,2,ddelta
5,0.10989363325474287,56,0.034757082193229046,0.9661303938677817,2,ddelta
6,0.08683515186964336,28,0.027464161675303078,0.9935945555430847,2,ddelta
7,0.012318989901161821,8,0.0038962415915369747,0.9974907971346217,2,ddelta
8,0.007933503103530198,1,0.002509202865378336,1.0,2,ddelta
1,0.2382043726508852,8,0.14095439790707398,0.14095439790707398,3,ddelta
2,0.1427056123157815,28,0.08444422509158567,0.22539862299865965,3,ddelta
3,0.37235979250980183,56,0.22033915571711932,0.44573777871577897,3,ddelta
4,0.38583333479947296,70,0.22831195243777194,0.6740497311535509,3,ddelta
5,0.32389415162764634,56,0.19166023117135988,0.8657099623249108,3,ddelta
6,0.18445747130422643,28,0.10915035487301745,0.9748603171979283,3,ddelta
7,0.04237573413234369,8,0.02507529993686937,0.9999356171347977,3,ddelta
8,0.00010880313237992544,1,6.438286520244977e-05,1.0000000000000002,3,ddelta
