wo,umi_count,library_id,condition,replicate,sample
OOOOOOOO,194324,1,Neg,1,Library-1-Neg-1
OOOOOOOW,48760,1,Neg,1,Library-1-Neg-1
OOOOOOWO,48170,1,Neg,1,Library-1-Neg-1
OOOOOOWW,45465,1,Neg,1,Library-1-Neg-1
OOOOOWOO,21254,1,Neg,1,Library-1-Neg-1
OOOOOWOW,59607,1,Neg,1,Library-1-Neg-1
OOOOOWWO,18424,1,Neg,1,Library-1-Neg-1
OOOOOWWW,32272,1,Neg,1,Library-1-Neg-1
OOOOWOOO,34727,1,Neg,1,Library-1-Neg-1
OOOOWOOW,186926,1,Neg,1,Library-1-Neg-1
OOOOWOWO,118512,1,Neg,1,Library-1-Neg-1
OOOOWOWW,45651,1,Neg,1,Library-1-Neg-1
OOOOWWOO,212167,1,Neg,1,Library-1-Neg-1
OOOOWWOW,99693,1,Neg,1,Library-1-Neg-1
OOOOWWWO,86522,1,Neg,1,Library-1-Neg-1
OOOOWWWW,56536,1,Neg,1,Library-1-Neg-1
OOOWOOOO,22682,1,Neg,1,Library-1-Neg-1
OOOWOOOW,106885,1,Neg,1,Library-1-Neg-1
OOOWOOWO,42139,1,Neg,1,Library-1-Neg-1
OOOWOOWW,32559,1,Neg,1,Library-1-Neg-1
OOOWOWOO,118685,1,Neg,1,Library-1-Neg-1
OOOWOWOW,266372,1,Neg,1,Library-1-Neg-1
OOOWOWWO,22720,1,Neg,1,Library-1-Neg-1
OOOWOWWW,13297,1,Neg,1,Library-1-Neg-1
OOOWWOOO,70797,1,Neg,1,Library-1-Neg-1
OOOWWOOW,56118,1,Neg,1,Library-1-Neg-1
OOOWWOWO,58108,1,Neg,1,Library-1-Neg-1
OOOWWOWW,65166,1,Neg,1,Library-1-Neg-1
OOOWWWOO,80074,1,Neg,1,Library-1-Neg-1
OOOWWWOW,100540,1,Neg,1,Library-1-Neg-1
OOOWWWWO,35780,1,Neg,1,Library-1-Neg-1
OOOWWWWW,55044,1,Neg,1,Library-1-Neg-1
OOWOOOOO,411294,1,Neg,1,Library-1-Neg-1
OOWOOOOW,30412,1,Neg,1,Library-1-Neg-1
OOWOOOWO,133465,1,Neg,1,Library-1-Neg-1
OOWOOOWW,35883,1,Neg,1,Library-1-Neg-1
OOWOOWOO,26000,1,Neg,1,Library-1-Neg-1
OOWOOWOW,217888,1,Neg,1,Library-1-Neg-1
OOWOOWWO,26198,1,Neg,1,Library-1-Neg-1
OOWOOWWW,14433,1,Neg,1,Library-1-Neg-1
OOWOWOOO,19932,1,Neg,1,Library-1-Neg-1
OOWOWOOW,164741,1,Neg,1,Library-1-Neg-1
OOWOWOWO,118207,1,Neg,1,Library-1-Neg-1
OOWOWOWW,57516,1,Neg,1,Library-1-Neg-1
OOWOWWOO,402702,1,Neg,1,Library-1-Neg-1
OOWOWWOW,177609,1,Neg,1,Library-1-Neg-1
OOWOWWWO,67004,1,Neg,1,Library-1-Neg-1
OOWOWWWW,78927,1,Neg,1,Library-1-Neg-1
OOWWOOOO,151286,1,Neg,1,Library-1-Neg-1
OOWWOOOW,180485,1,Neg,1,Library-1-Neg-1
OOWWOOWO,228948,1,Neg,1,Library-1-Neg-1
OOWWOOWW,70828,1,Neg,1,Library-1-Neg-1
OOWWOWOO,284240,1,Neg,1,Library-1-Neg-1
OOWWOWOW,194576,1,Neg,1,Library-1-Neg-1
OOWWOWWO,71833,1,Neg,1,Library-1-Neg-1
OOWWOWWW,121360,1,Neg,1,Library-1-Neg-1
OOWWWOOO,285167,1,Neg,1,Library-1-Neg-1
OOWWWOOW,172173,1,Neg,1,Library-1-Neg-1
OOWWWOWO,90759,1,Neg,1,Library-1-Neg-1
