filename,relative_path,size_bytes,suffix
.DS_Store,archive/landscape_figures_analysis/.DS_Store,6148,
Chris_Master_File_linear_regression_comparison_across_species.xlsx,archive/landscape_figures_analysis/Chris_Master_File_linear_regression_comparison_across_species.xlsx,19616,.xlsx
Chris_Regression_Human_Epistasis.xlsx,archive/landscape_figures_analysis/Chris_Regression_Human_Epistasis.xlsx,9861,.xlsx
Gray_Code.py,archive/landscape_figures_analysis/Gray_Code.py,3739,.py
Gray_Code.rtf,archive/landscape_figures_analysis/Gray_Code.rtf,196,.rtf
Mod_1.py,archive/landscape_figures_analysis/Mod_1.py,5259,.py
Residual_Landscape.py,archive/landscape_figures_analysis/Residual_Landscape.py,3048,.py
accessibility_reproducibility_network_optionA.py,archive/landscape_figures_analysis/accessibility_reproducibility_network_optionA.py,8522,.py
average_landscape_3libraries.py,archive/landscape_figures_analysis/average_landscape_3libraries.py,3007,.py
average_landscape_with_sd_envelope.py,archive/landscape_figures_analysis/average_landscape_with_sd_envelope.py,3722,.py
average_landscape_with_variability_panel.py,archive/landscape_figures_analysis/average_landscape_with_variability_panel.py,4017,.py
average_load_ordered_3d_landscape.py,archive/landscape_figures_analysis/average_load_ordered_3d_landscape.py,4321,.py
average_load_ordered_3d_landscape_labeled.py,archive/landscape_figures_analysis/average_load_ordered_3d_landscape_labeled.py,4927,.py
average_load_ordered_3d_network_points.py,archive/landscape_figures_analysis/average_load_ordered_3d_network_points.py,5222,.py
average_load_ordered_3d_network_reproducibility_edges.py,archive/landscape_figures_analysis/average_load_ordered_3d_network_reproducibility_edges.py,8518,.py
best_path_analysis_ddelta.py,archive/landscape_figures_analysis/best_path_analysis_ddelta.py,8879,.py
best_path_analysis_ddelta_all_directed_edges.csv,archive/landscape_figures_analysis/best_path_analysis_ddelta_all_directed_edges.csv,154782,.csv
best_path_analysis_ddelta_filtered_edges.csv,archive/landscape_figures_analysis/best_path_analysis_ddelta_filtered_edges.csv,26994,.csv
best_path_analysis_ddelta_max_bottleneck_path_edges.csv,archive/landscape_figures_analysis/best_path_analysis_ddelta_max_bottleneck_path_edges.csv,1,.csv
best_path_analysis_ddelta_max_bottleneck_path_nodes.txt,archive/landscape_figures_analysis/best_path_analysis_ddelta_max_bottleneck_path_nodes.txt,58,.txt
best_path_analysis_ddelta_max_cumulative_path_edges.csv,archive/landscape_figures_analysis/best_path_analysis_ddelta_max_cumulative_path_edges.csv,1,.csv
best_path_analysis_ddelta_max_cumulative_path_nodes.txt,archive/landscape_figures_analysis/best_path_analysis_ddelta_max_cumulative_path_nodes.txt,58,.txt
best_path_analysis_ddelta_summary.csv,archive/landscape_figures_analysis/best_path_analysis_ddelta_summary.csv,274,.csv
ddelta_edge_permutation_test.py,archive/landscape_figures_analysis/ddelta_edge_permutation_test.py,7359,.py
ddelta_edge_permutation_test_observed_edges.csv,archive/landscape_figures_analysis/ddelta_edge_permutation_test_observed_edges.csv,126043,.csv
ddelta_edge_permutation_test_observed_vs_null.csv,archive/landscape_figures_analysis/ddelta_edge_permutation_test_observed_vs_null.csv,1007,.csv
ddelta_edge_permutation_test_permutation_summary.csv,archive/landscape_figures_analysis/ddelta_edge_permutation_test_permutation_summary.csv,98322,.csv
ddelta_path_diagnostics.py,archive/landscape_figures_analysis/ddelta_path_diagnostics.py,12402,.py
ddelta_path_diagnostics_best_partial_path_edges.csv,archive/landscape_figures_analysis/ddelta_path_diagnostics_best_partial_path_edges.csv,312,.csv
ddelta_path_diagnostics_best_partial_path_nodes.txt,archive/landscape_figures_analysis/ddelta_path_diagnostics_best_partial_path_nodes.txt,21,.txt
ddelta_path_diagnostics_end_incoming_all.csv,archive/landscape_figures_analysis/ddelta_path_diagnostics_end_incoming_all.csv,1381,.csv
ddelta_path_diagnostics_end_incoming_filtered.csv,archive/landscape_figures_analysis/ddelta_path_diagnostics_end_incoming_filtered.csv,467,.csv
ddelta_path_diagnostics_furthest_reachable_nodes.csv,archive/landscape_figures_analysis/ddelta_path_diagnostics_furthest_reachable_nodes.csv,73,.csv
ddelta_path_diagnostics_reachable_nodes.csv,archive/landscape_figures_analysis/ddelta_path_diagnostics_reachable_nodes.csv,142,.csv
ddelta_path_diagnostics_start_outgoing_all.csv,archive/landscape_figures_analysis/ddelta_path_diagnostics_start_outgoing_all.csv,1320,.csv
ddelta_path_diagnostics_start_outgoing_filtered.csv,archive/landscape_figures_analysis/ddelta_path_diagnostics_start_outgoing_filtered.csv,312,.csv
ddelta_path_diagnostics_summary.csv,archive/landscape_figures_analysis/ddelta_path_diagnostics_summary.csv,453,.csv
experimental_landscape_lib1_2.csv,archive/landscape_figures_analysis/experimental_landscape_lib1_2.csv,38816,.csv
human_landscape_predicted_ALL.txt,archive/landscape_figures_analysis/human_landscape_predicted_ALL.txt,2397,.txt
human_with_experimental_landscape_jons_data.xlsx,archive/landscape_figures_analysis/human_with_experimental_landscape_jons_data.xlsx,74969,.xlsx
human_with_residual_landscape_jons_data.xlsx,archive/landscape_figures_analysis/human_with_residual_landscape_jons_data.xlsx,64069,.xlsx
landscape_3libraries_from_csv.py,archive/landscape_figures_analysis/landscape_3libraries_from_csv.py,6473,.py
linear_reg_human.xlsx,archive/landscape_figures_analysis/linear_reg_human.xlsx,79231,.xlsx
load_ordered_network_landscape.py,archive/landscape_figures_analysis/load_ordered_network_landscape.py,4976,.py
load_ordered_network_landscape_fixed.py,archive/landscape_figures_analysis/load_ordered_network_landscape_fixed.py,5370,.py
mean_log2fc_pos_pre.py,archive/landscape_figures_analysis/mean_log2fc_pos_pre.py,3082,.py
mean_log2fc_pos_pre.txt,archive/landscape_figures_analysis/mean_log2fc_pos_pre.txt,3188,.txt
network_edge_statistics_compare_pospre_vs_ddelta.py,archive/landscape_figures_analysis/network_edge_statistics_compare_pospre_vs_ddelta.py,9342,.py
predicted_ModelAll_Anchored_human.xlsx,archive/landscape_figures_analysis/predicted_ModelAll_Anchored_human.xlsx,64997,.xlsx
reliable_uphill_network.py,archive/landscape_figures_analysis/reliable_uphill_network.py,9056,.py
reproducibility_network_ddelta_final.py,archive/landscape_figures_analysis/reproducibility_network_ddelta_final.py,6720,.py
reproducibility_network_fixed.py,archive/landscape_figures_analysis/reproducibility_network_fixed.py,5064,.py
reproducibility_network_fixed_v2.py,archive/landscape_figures_analysis/reproducibility_network_fixed_v2.py,5026,.py
reproducibility_network_logfloor.py,archive/landscape_figures_analysis/reproducibility_network_logfloor.py,6733,.py
reproducibility_network_logfloor_colored.py,archive/landscape_figures_analysis/reproducibility_network_logfloor_colored.py,6027,.py
reproducibility_network_logfloor_colored_v2.py,archive/landscape_figures_analysis/reproducibility_network_logfloor_colored_v2.py,6040,.py
reproducibility_network_thresholded_reds.py,archive/landscape_figures_analysis/reproducibility_network_thresholded_reds.py,6759,.py
weighted_optimal_path_ddelta.py,archive/landscape_figures_analysis/weighted_optimal_path_ddelta.py,7716,.py
weighted_optimal_path_ddelta_all_directed_edges.csv,archive/landscape_figures_analysis/weighted_optimal_path_ddelta_all_directed_edges.csv,162975,.csv
weighted_optimal_path_ddelta_optimal_path_edges.csv,archive/landscape_figures_analysis/weighted_optimal_path_ddelta_optimal_path_edges.csv,1410,.csv
